SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude
LUGASSON/lug00001108_560nm.tif,lug00001108_560nm.tif,44.7491137,-0.1696362,146.962997
LUGASSON/lug00001109_560nm.tif,lug00001109_560nm.tif,44.7488862,-0.1696722,147.263
LUGASSON/lug00001110_560nm.tif,lug00001110_560nm.tif,44.748643,-0.169735,146.863007
LUGASSON/lug00001112_560nm.tif,lug00001112_560nm.tif,44.7481523,-0.1698269,146.763
LUGASSON/lug00001113_560nm.tif,lug00001113_560nm.tif,44.747907,-0.1698539,148.462997
LUGASSON/lug00001114_560nm.tif,lug00001114_560nm.tif,44.7476583,-0.1698798,150.962997
LUGASSON/lug00001123_560nm.tif,lug00001123_560nm.tif,44.7473395,-0.1689983,149.863007
LUGASSON/lug00001128_560nm.tif,lug00001128_560nm.tif,44.7479922,-0.1695269,158.863007
LUGASSON/lug00001129_560nm.tif,lug00001129_560nm.tif,44.7481352,-0.1694398,155.962997
LUGASSON/lug00001130_560nm.tif,lug00001130_560nm.tif,44.7482895,-0.1693208,151.863007
LUGASSON/lug00001131_560nm.tif,lug00001131_560nm.tif,44.7484324,-0.1692262,149.563004
LUGASSON/lug00001133_560nm.tif,lug00001133_560nm.tif,44.7487411,-0.1691375,149.063004
LUGASSON/lug00001134_560nm.tif,lug00001134_560nm.tif,44.7488898,-0.1691483,150.162994
LUGASSON/lug00001135_560nm.tif,lug00001135_560nm.tif,44.7490413,-0.1691685,150.763
LUGASSON/lug00001136_560nm.tif,lug00001136_560nm.tif,44.7492069,-0.1691683,151.063004
LUGASSON/lug00001137_560nm.tif,lug00001137_560nm.tif,44.7493755,-0.1691022,149.863007
LUGASSON/lug00001140_560nm.tif,lug00001140_560nm.tif,44.749885,-0.1689372,151.063004
LUGASSON/lug00001141_560nm.tif,lug00001141_560nm.tif,44.7500465,-0.1689231,152.763
LUGASSON/lug00001142_560nm.tif,lug00001142_560nm.tif,44.7502069,-0.168902,152.162994
LUGASSON/lug00001143_560nm.tif,lug00001143_560nm.tif,44.7503682,-0.1688795,152.763
LUGASSON/lug00001144_560nm.tif,lug00001144_560nm.tif,44.750535,-0.1688527,152.763
LUGASSON/lug00001145_560nm.tif,lug00001145_560nm.tif,44.7507034,-0.1688182,153.863007
LUGASSON/lug00001147_560nm.tif,lug00001147_560nm.tif,44.7510128,-0.1687988,156.363007
LUGASSON/lug00001148_560nm.tif,lug00001148_560nm.tif,44.7511469,-0.1687836,157.363007
LUGASSON/lug00001149_560nm.tif,lug00001149_560nm.tif,44.7512847,-0.1687333,156.462997
LUGASSON/lug00001150_560nm.tif,lug00001150_560nm.tif,44.7514177,-0.1686564,154.263
LUGASSON/lug00001153_560nm.tif,lug00001153_560nm.tif,44.7518144,-0.168491,149.363007
LUGASSON/lug00001154_560nm.tif,lug00001154_560nm.tif,44.751946,-0.168485,148.863007
LUGASSON/lug00001155_560nm.tif,lug00001155_560nm.tif,44.752074,-0.1684939,147.962997
LUGASSON/lug00001156_560nm.tif,lug00001156_560nm.tif,44.7522097,-0.1685005,147.662994
LUGASSON/lug00001157_560nm.tif,lug00001157_560nm.tif,44.7523506,-0.1684993,147.563004
LUGASSON/lug00001158_560nm.tif,lug00001158_560nm.tif,44.7524891,-0.1684877,148.063004
LUGASSON/lug00001159_560nm.tif,lug00001159_560nm.tif,44.7526287,-0.1684611,148.763
LUGASSON/lug00001160_560nm.tif,lug00001160_560nm.tif,44.7527673,-0.1684127,149.162994
LUGASSON/lug00001161_560nm.tif,lug00001161_560nm.tif,44.7529104,-0.1683493,148.863007
LUGASSON/lug00001162_560nm.tif,lug00001162_560nm.tif,44.7530559,-0.1682867,148.363007
LUGASSON/lug00001164_560nm.tif,lug00001164_560nm.tif,44.7533513,-0.1682245,146.962997
LUGASSON/lug00001165_560nm.tif,lug00001165_560nm.tif,44.7534838,-0.1682196,146.662994
LUGASSON/lug00001166_560nm.tif,lug00001166_560nm.tif,44.7536153,-0.1682021,146.462997
LUGASSON/lug00001167_560nm.tif,lug00001167_560nm.tif,44.7537533,-0.1681895,146.662994
LUGASSON/lug00001168_560nm.tif,lug00001168_560nm.tif,44.7538851,-0.1681569,147.263
LUGASSON/lug00001169_560nm.tif,lug00001169_560nm.tif,44.7540268,-0.1681217,147.962997
LUGASSON/lug00001170_560nm.tif,lug00001170_560nm.tif,44.7541589,-0.168078,148.363007
LUGASSON/lug00001171_560nm.tif,lug00001171_560nm.tif,44.7542964,-0.1680237,147.662994
LUGASSON/lug00001172_560nm.tif,lug00001172_560nm.tif,44.7544254,-0.167984,147.162994
LUGASSON/lug00001173_560nm.tif,lug00001173_560nm.tif,44.7545687,-0.1679601,147.162994
LUGASSON/lug00001174_560nm.tif,lug00001174_560nm.tif,44.7547052,-0.1679458,148.162994
LUGASSON/lug00001175_560nm.tif,lug00001175_560nm.tif,44.7548526,-0.1679211,148.763
LUGASSON/lug00001176_560nm.tif,lug00001176_560nm.tif,44.7550077,-0.167906,150.162994
LUGASSON/lug00001177_560nm.tif,lug00001177_560nm.tif,44.75515,-0.1678681,151.363007
LUGASSON/lug00001178_560nm.tif,lug00001178_560nm.tif,44.7552921,-0.1678143,152.662994
LUGASSON/lug00001179_560nm.tif,lug00001179_560nm.tif,44.75543,-0.167764,154.162994
LUGASSON/lug00001182_560nm.tif,lug00001182_560nm.tif,44.755843,-0.1676463,151.962997
LUGASSON/lug00001183_560nm.tif,lug00001183_560nm.tif,44.7559766,-0.1676207,151.063004
LUGASSON/lug00001184_560nm.tif,lug00001184_560nm.tif,44.7561135,-0.1675973,150.063004
LUGASSON/lug00001185_560nm.tif,lug00001185_560nm.tif,44.7562589,-0.1675788,148.962997
LUGASSON/lug00001186_560nm.tif,lug00001186_560nm.tif,44.7564115,-0.1675505,148.063004
LUGASSON/lug00001200_560nm.tif,lug00001200_560nm.tif,44.755192,-0.1672957,143.063004
LUGASSON/lug00001201_560nm.tif,lug00001201_560nm.tif,44.7550054,-0.1673779,144.363007
LUGASSON/lug00001202_560nm.tif,lug00001202_560nm.tif,44.754791,-0.1674544,145.263
LUGASSON/lug00001203_560nm.tif,lug00001203_560nm.tif,44.754589,-0.1675156,145.063004
LUGASSON/lug00001204_560nm.tif,lug00001204_560nm.tif,44.7543792,-0.167574,144.763
LUGASSON/lug00001205_560nm.tif,lug00001205_560nm.tif,44.7541663,-0.1676311,144.563004
LUGASSON/lug00001206_560nm.tif,lug00001206_560nm.tif,44.7539508,-0.1676842,144.662994
LUGASSON/lug00001207_560nm.tif,lug00001207_560nm.tif,44.7537218,-0.1677517,144.563004
LUGASSON/lug00001208_560nm.tif,lug00001208_560nm.tif,44.753501,-0.167817,144.263
LUGASSON/lug00001209_560nm.tif,lug00001209_560nm.tif,44.753259,-0.1678797,143.662994
LUGASSON/lug00001210_560nm.tif,lug00001210_560nm.tif,44.7530239,-0.1679356,143.662994
LUGASSON/lug00001211_560nm.tif,lug00001211_560nm.tif,44.7527913,-0.1679948,144.662994
LUGASSON/lug00001212_560nm.tif,lug00001212_560nm.tif,44.7525594,-0.1680616,145.263
LUGASSON/lug00001213_560nm.tif,lug00001213_560nm.tif,44.7523179,-0.1681252,146.462997
LUGASSON/lug00001214_560nm.tif,lug00001214_560nm.tif,44.7520788,-0.1681785,147.662994
LUGASSON/lug00001215_560nm.tif,lug00001215_560nm.tif,44.7518244,-0.1682235,148.263
LUGASSON/lug00001216_560nm.tif,lug00001216_560nm.tif,44.751564,-0.168264,149.063004
LUGASSON/lug00001217_560nm.tif,lug00001217_560nm.tif,44.7513167,-0.1683111,149.962997
LUGASSON/lug00001218_560nm.tif,lug00001218_560nm.tif,44.7510677,-0.1683665,150.962997
LUGASSON/lug00001219_560nm.tif,lug00001219_560nm.tif,44.7508287,-0.1684467,151.363007
LUGASSON/lug00001220_560nm.tif,lug00001220_560nm.tif,44.7505947,-0.1685315,152.263
LUGASSON/lug00001224_560nm.tif,lug00001224_560nm.tif,44.7496105,-0.1687533,149.763
LUGASSON/lug00001225_560nm.tif,lug00001225_560nm.tif,44.7493402,-0.1688114,150.863007
LUGASSON/lug00001226_560nm.tif,lug00001226_560nm.tif,44.7490846,-0.1688595,151.162994
LUGASSON/lug00001227_560nm.tif,lug00001227_560nm.tif,44.7488347,-0.1689062,151.263
LUGASSON/lug00001228_560nm.tif,lug00001228_560nm.tif,44.7485884,-0.1689558,152.662994
LUGASSON/lug00001229_560nm.tif,lug00001229_560nm.tif,44.7483573,-0.1690099,155.162994
LUGASSON/lug00001230_560nm.tif,lug00001230_560nm.tif,44.7481088,-0.1690836,156.162994
LUGASSON/lug00001232_560nm.tif,lug00001232_560nm.tif,44.7476164,-0.169215,152.863007
LUGASSON/lug00001242_560nm.tif,lug00001242_560nm.tif,44.747298,-0.1683699,151.763
LUGASSON/lug00001247_560nm.tif,lug00001247_560nm.tif,44.7479533,-0.1687307,153.962997
LUGASSON/lug00001250_560nm.tif,lug00001250_560nm.tif,44.7484702,-0.1684626,152.563004
LUGASSON/lug00001252_560nm.tif,lug00001252_560nm.tif,44.7488194,-0.1683962,156.563004
LUGASSON/lug00001254_560nm.tif,lug00001254_560nm.tif,44.7492053,-0.1683631,157.162994
LUGASSON/lug00001255_560nm.tif,lug00001255_560nm.tif,44.7494086,-0.1683281,160.063004
LUGASSON/lug00001256_560nm.tif,lug00001256_560nm.tif,44.7495952,-0.1682902,160.863007
LUGASSON/lug00001257_560nm.tif,lug00001257_560nm.tif,44.7497885,-0.1682474,159.563004
LUGASSON/lug00001258_560nm.tif,lug00001258_560nm.tif,44.7499812,-0.1682158,158.863007
LUGASSON/lug00001259_560nm.tif,lug00001259_560nm.tif,44.7501768,-0.16818,160.063004
LUGASSON/lug00001260_560nm.tif,lug00001260_560nm.tif,44.7503493,-0.1681498,162.162994
LUGASSON/lug00001261_560nm.tif,lug00001261_560nm.tif,44.7505182,-0.1681197,162.863007
LUGASSON/lug00001262_560nm.tif,lug00001262_560nm.tif,44.7506694,-0.168086,161.563004
LUGASSON/lug00001263_560nm.tif,lug00001263_560nm.tif,44.7508336,-0.1680425,159.363007
LUGASSON/lug00001266_560nm.tif,lug00001266_560nm.tif,44.7513185,-0.1680378,157.363007
LUGASSON/lug00001268_560nm.tif,lug00001268_560nm.tif,44.7516602,-0.1680143,155.063004
LUGASSON/lug00001269_560nm.tif,lug00001269_560nm.tif,44.751833,-0.1679234,154.063004
LUGASSON/lug00001270_560nm.tif,lug00001270_560nm.tif,44.7520007,-0.1677986,152.763
LUGASSON/lug00001273_560nm.tif,lug00001273_560nm.tif,44.7524907,-0.1675806,149.462997
